domain,pagerank_score
kk.wikipedia.org,0.003075
talkcricket.co.uk,0.001487
fa.wikipedia.org,0.005283
vocab.getty.edu,0.001499
global.britannica.com,0.001466
qu.wikipedia.org,0.002215
sd.wikipedia.org,0.002215
xmf.wikipedia.org,0.003125
ro.wikipedia.org,0.002215
stats.allblacks.com,0.001467
sa.wikipedia.org,0.002215
icc-africa-cricket.com,0.001466
su.wikipedia.org,0.002215
sporteology.com,0.001521
sh.wikipedia.org,0.002215
cricket.gr,0.001471
network.creativecommons.org,0.001542
adb.online.anu.edu.au,0.001467
ht.wikipedia.org,0.003014
nytimes.com,0.001492
si.wikipedia.org,0.002215
be-tarask.wikipedia.org,0.003200
austriacricket.at,0.001470
cricket.com.au,0.001469
wikimedia.org,0.002534
payments.wikimedia.org,0.001638
mn.wikipedia.org,0.002215
southafricaweb.co.za,0.001466
zh-yue.wikipedia.org,0.002215
is.wikipedia.org,0.003196
gd.wikipedia.org,0.003255
cricketcountry.com,0.001479
certificate.creativecommons.org,0.001542
en.wikisource.org,0.001472
sr.wikipedia.org,0.002215
mzn.wikipedia.org,0.003315
themorning.lk,0.001471
summit.creativecommons.org,0.001542
oc.wikipedia.org,0.002215
mr.wikipedia.org,0.007580
ast.wikiquote.org,0.001479
tcy.wikipedia.org,0.002215
eo.wikipedia.org,0.005467
cricketireland.ie,0.001466
czechcricket.cz,0.001482
cricketanalytix.com,0.001473
an.wikipedia.org,0.003384
ky.wikipedia.org,0.003016
te.wikipedia.org,0.002215
as.wikipedia.org,0.003249
th.wikipedia.org,0.002215
ko.wikibooks.org,0.001471
ha.wikipedia.org,0.003478
books.google.com,0.001493
uk.wikipedia.org,0.002215
war.wikipedia.org,0.002215
tok.wikipedia.org,0.002215
nn.wikipedia.org,0.002215
ml.wikipedia.org,0.004806
simple.wikipedia.org,0.002225
ilo.wikipedia.org,0.003337
krikettgalaxis.hu,0.001510
rajkotupdates.com,0.001471
xh.wikipedia.org,0.002963
facebook.com,0.001480
ba.wikipedia.org,0.003951
ur.wikipedia.org,0.002215
cricket-rules.com,0.001471
tools.wmflabs.org,0.001474
spilcricket.dk,0.001473
smh.com.au,0.001483
jstor.org,0.001489
bleacherreport.com,0.001523
seattlecricket.com,0.001471
ecbtv.co.uk,0.001471
telegraph.co.uk,0.001496
zgbk.com,0.001469
icc-cricket.com,0.001967
sweeneyresearch.com.au,0.001472
als.wikipedia.org,0.003066
archive.today,0.001500
ca.wikipedia.org,0.004926
old.bigenc.ru,0.001483
marketresearchworld.net,0.001466
kriket.cz,0.001473
tr.wikipedia.org,0.002215
br.wikipedia.org,0.003024
cricketarchive.co.uk,0.001518
catalogue.bnf.fr,0.001648
https,0.001474
manoramaonline.com,0.001472
auth.wikimedia.org,0.001752
psh.techlib.cz,0.001478
learn-cricket.com,0.001476
theconversation.com,0.001471
taipeitimes.com,0.001467
publications.parliament.uk,0.001467
archive.is,0.001483
asiancricket.org,0.001466
sportski.lzmk.hr,0.001473
babelnet.org,0.001481
bn.banglapedia.org,0.001481
la84foundation.org,0.001551
vi.wikipedia.org,0.002215
zh-min-nan.wikipedia.org,0.003019
elsport.com,0.001481
lux.collections.yale.edu,0.001479
de.wikipedia.org,0.005550
content-uk.cricinfo.com,0.001519
giftbot.toolforge.org,0.001474
nds.wikipedia.org,0.002215
tuairisc.ie,0.001483
sq.wikipedia.org,0.002215
cricketworldcup.com,0.001494
hcaptcha.com,0.001752
academia.gal,0.001468
sportscourtdimensions.com,0.001469
af.wikipedia.org,0.007406
content-www.cricinfo.com,0.001476
zu.wikipedia.org,0.002934
nla.gov.au,0.001467
archive.acscricket.com,0.001467
icc-cricket.yahoo.com,0.001467
content-ind.cricinfo.com,0.001467
abcofcricket.com,0.001467
britannica.com,0.001604
abc.net.au,0.001475
cricket.or.kr,0.001471
philadelphiaencyclopedia.org,0.001467
fr.wiktionary.org,0.001467
francecricket.com,0.001467
theavmtheory.com,0.001473
mrdca.nsw.cricket.com.au,0.001471
cricketspain.es,0.001471
dicara.efaragonesa.org,0.001482
gu.wikipedia.org,0.004214
guerillacricket.com,0.001471
forbesindia.com,0.001471
cricketingfever.webs.com,0.001466
economist.com,0.001471
ieccjapan.com,0.001467
portal.issn.org,0.001471
quora.com,0.001471
wiki.creativecommons.org,0.001857
data.bnf.fr,0.001596
search.creativecommons.org,0.001542
t20.cricket.com.pk,0.001466
mail.creativecommons.org,0.001542
bakhtarnews.af,0.001472
bsky.app,0.001542
mastodon.social,0.001542
linkedin.com,0.001542
asheshistory.weebly.com,0.001466
fontawesome.com,0.001542
mapsofworld.com,0.001472
worldcricketwatch.com,0.001466
skr.wikipedia.org,0.002215
hambledoncricketclub.co.uk,0.001466
pageviews.wmcloud.org,0.001470
hy.wikisource.org,0.001476
sussexcricket.co.uk,0.001466
commons.wikimedia.org,0.002819
tehelka.com,0.001466
guardian.co.uk,0.001469
cy.wiktionary.org,0.001473
ssgreatbritain.org,0.001466
standpointmag.co.uk,0.001466
nzhistory.net.nz,0.001470
static.espncricinfo.com,0.001476
windiescricket.com,0.001466
questioncricket.com,0.001466
cricket.de,0.001470
el.wikipedia.org,0.005907
bloomsbury.com,0.001466
teara.govt.nz,0.001466
drmj.eu,0.001473
iccworldtwenty20.com,0.001466
itsonlycricket.com,0.001466
stuff.co.nz,0.001466
dailymail.co.uk,0.001468
iccamericas.com,0.001466
icc-europe.org,0.001469
icceap.com,0.001466
howstat.com.au,0.001469
kentcricket.co.uk,0.001466
paperspast.natlib.govt.nz,0.001466
m.bbc.co.uk,0.001466
thepca.co.uk,0.001466
pt.wikipedia.org,0.002215
jagran.com,0.001468
